+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
| SUUR0000SA0 | 2010 |  M09   | 125.830 |           |
| SUUR0000SA0 | 2010 |  M08   | 125.756 |           |
| SUUR0000SA0 | 2010 |  M07   | 125.536 |           |
| SUUR0000SA0 | 2010 |  M06   | 125.521 |           |
| SUUR0000SA0 | 2010 |  M05   | 125.678 |           |
| SUUR0000SA0 | 2010 |  M04   | 125.620 |           |
| SUUR0000SA0 | 2010 |  M03   | 125.442 |           |
| SUUR0000SA0 | 2010 |  M02   | 124.972 |           |
| SUUR0000SA0 | 2010 |  M01   | 124.987 |           |
+-------------+------+--------+---------+-----------+
